Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS561	" ""Cow_Urine"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
